Class Name,Config Option,Description
CleanupOptions,cleanup-strategy.type,"Defines the cleanup strategy to use in case of cleanup failures.<br />Accepted values are:<ul><li><code class=""highlighter-rouge"">none</code>, <code class=""highlighter-rouge"">disable</code>, <code class=""highlighter-rouge"">off</code>: Cleanup is only performed once. No retry will be initiated in case of failure. The job artifacts (and the job's JobResultStore entry) have to be cleaned up manually in case of a failure.</li><li><code class=""highlighter-rouge"">fixed-delay</code>, <code class=""highlighter-rouge"">fixeddelay</code>: Cleanup attempts will be separated by a fixed interval up to the point where the cleanup is considered successful or a set amount of retries is reached. Reaching the configured limit means that the job artifacts (and the job's JobResultStore entry) might need to be cleaned up manually.</li><li><code class=""highlighter-rouge"">exponential-delay</code>, <code class=""highlighter-rouge"">exponentialdelay</code>: Exponential delay restart strategy triggers the cleanup with an exponentially increasing delay up to the point where the cleanup succeeded or a set amount of retries is reached. Reaching the configured limit means that the job artifacts (and the job's JobResultStore entry) might need to be cleaned up manually.</li></ul>The default configuration relies on an exponentially delayed retry strategy with the given default values."
CleanupOptions,cleanup-strategy.fixed-delay.attempts,"The number of times that Flink retries the cleanup before giving up if <code class=""highlighter-rouge"">cleanup-strategy.type</code> has been set to <code class=""highlighter-rouge"">fixed-delay</code>. Reaching the configured limit means that the job artifacts (and the job's JobResultStore entry) might need to be cleaned up manually."
CleanupOptions,cleanup-strategy.fixed-delay.delay,"Amount of time that Flink waits before re-triggering the cleanup after a failed attempt if the <code class=""highlighter-rouge"">cleanup-strategy.type</code> is set to <code class=""highlighter-rouge"">fixed-delay</code>. It can be specified using the following notation: ""1 min"", ""20 s"""
CleanupOptions,cleanup-strategy.exponential-delay.initial-backoff,"Starting duration between cleanup retries if <code class=""highlighter-rouge"">cleanup-strategy.type</code> has been set to <code class=""highlighter-rouge"">exponential-delay</code>. It can be specified using the following notation: ""1 min"", ""20 s"""
CleanupOptions,cleanup-strategy.exponential-delay.max-backoff,"The highest possible duration between cleanup retries if <code class=""highlighter-rouge"">cleanup-strategy.type</code> has been set to <code class=""highlighter-rouge"">exponential-delay</code>. It can be specified using the following notation: ""1 min"", ""20 s"""
CleanupOptions,cleanup-strategy.exponential-delay.attempts,"The number of times a failed cleanup is retried if <code class=""highlighter-rouge"">cleanup-strategy.type</code> has been set to <code class=""highlighter-rouge"">exponential-delay</code>. Reaching the configured limit means that the job artifacts (and the job's JobResultStore entry) might need to be cleaned up manually."
RestOptions,rest.bind-address,The address that the server binds itself.
RestOptions,rest.bind-port,"The port that the server binds itself. Accepts a list of ports (“50100,50101”), ranges (“50100-50200”) or a combination of both. It is recommended to set a range of ports to avoid collisions when multiple Rest servers are running on the same machine."
RestOptions,rest.url-prefix,"The url prefix that should be used by clients to construct the full target url, must start and end with '/'. This will be added between the address and version prefix. For example, if the option is set to '/foo/', the overview query URL will be transformed to 'localhost:8081/foo/v1/overview'. Attention: This option is respected only if the high-availability configuration is NONE."
RestOptions,rest.address,The address that should be used by clients to connect to the server. Attention: This option is respected only if the high-availability configuration is NONE.
RestOptions,rest.path,The path that should be used by clients to interact to the server which is accessible via URL.
RestOptions,rest.port,"The port that the client connects to. If rest.bind-port has not been specified, then the REST server will bind to this port. Attention: This option is respected only if the high-availability configuration is NONE."
RestOptions,rest.await-leader-timeout,"The time that the client waits for the leader address, e.g., Dispatcher or WebMonitorEndpoint"
RestOptions,rest.retry.max-attempts,The number of retries the client will attempt if a retryable operations fails.
RestOptions,rest.retry.delay,The time that the client waits between retries (See also `rest.retry.max-attempts`).
RestOptions,rest.connection-timeout,The maximum time for the client to establish a TCP connection.
RestOptions,rest.idleness-timeout,The maximum time for a connection to stay idle before failing.
RestOptions,rest.server.max-content-length,The maximum content length in bytes that the server will handle.
RestOptions,rest.client.max-content-length,The maximum content length in bytes that the client will handle.
RestOptions,rest.server.numThreads,The number of threads for the asynchronous processing of requests.
RestOptions,rest.server.thread-priority,Thread priority of the REST server's executor for processing asynchronous requests. Lowering the thread priority will give Flink's main components more CPU time whereas increasing will allocate more time for the REST server's processing.
RestOptions,rest.cache.checkpoint-statistics.timeout,"Duration from write after which cached checkpoints statistics are cleaned up. For backwards compatibility, if no value is configured, <code class=""highlighter-rouge"">web.refresh-interval</code> will be used instead."
RestOptions,rest.cache.checkpoint-statistics.size,Maximum number of entries in the checkpoint statistics cache.
RestOptions,rest.flamegraph.enabled,Enables the experimental flame graph feature.
RestOptions,rest.flamegraph.cleanup-interval,"Time after which cached stats are cleaned up if not accessed. It can be specified using notation: ""100 s"", ""10 m""."
RestOptions,rest.flamegraph.refresh-interval,"Time after which available stats are deprecated and need to be refreshed (by resampling).  It can be specified using notation: ""30 s"", ""1 m""."
RestOptions,rest.flamegraph.num-samples,Number of samples to take to build a FlameGraph.
RestOptions,rest.flamegraph.delay-between-samples,"Delay between individual stack trace samples taken for building a FlameGraph. It can be specified using notation: ""100 ms"", ""1 s""."
RestOptions,rest.flamegraph.stack-depth,Maximum depth of stack traces used to create FlameGraphs.
RestOptions,rest.async.store-duration,Maximum duration that the result of an async operation is stored. Once elapsed the result of the operation can no longer be retrieved.
RestOptions,rest.profiling.enabled,Enables the experimental profiler feature.
RestOptions,rest.profiling.history-size,Maximum profiling history instance to be maintained for JobManager or each TaskManager. The oldest instance will be removed on a rolling basis when the history size exceeds this value.
RestOptions,rest.profiling.duration-max,Maximum profiling duration for each profiling request. Any profiling request's duration exceeding this value will not be accepted.
RestOptions,rest.profiling.dir,Profiling result storing directory.
ExecutionOptions,execution.runtime-mode,"Runtime execution mode of DataStream programs. Among other things, this controls task scheduling, network shuffle behavior, and time semantics."
ExecutionOptions,execution.batch-shuffle-mode,"Defines how data is exchanged between tasks in batch 'execution.runtime-mode' if the shuffling behavior has not been set explicitly for an individual exchange.<br />With pipelined exchanges, upstream and downstream tasks run simultaneously. In order to achieve lower latency, a result record is immediately sent to and processed by the downstream task. Thus, the receiver back-pressures the sender. The streaming mode always uses this exchange.<br />With blocking exchanges, upstream and downstream tasks run in stages. Records are persisted to some storage between stages. Downstream tasks then fetch these records after the upstream tasks finished. Such an exchange reduces the resources required to execute the job as it does not need to run upstream and downstream tasks simultaneously.<br />With hybrid exchanges (experimental), downstream tasks can run anytime as long as upstream tasks start running. When given sufficient resources, it can reduce the overall job execution time by running tasks simultaneously. Otherwise, it also allows jobs to be executed with very little resources. It adapts to custom preferences between persisting less data and restarting less tasks on failures, by providing different spilling strategies."
ExecutionOptions,execution.checkpointing.snapshot-compression,Tells if we should use compression for the state snapshot data or not
ExecutionOptions,execution.buffer-timeout.enabled,"If disabled, the config execution.buffer-timeout.interval will not take effect and the flushing will be triggered only when the output buffer is full thus maximizing throughput"
ExecutionOptions,execution.buffer-timeout.interval,"The maximum time frequency (milliseconds) for the flushing of the output buffers. By default the output buffers flush frequently to provide low latency and to aid smooth developer experience. Setting the parameter can result in three logical modes:<ul><li>A positive value triggers flushing periodically by that interval</li><li>0 triggers flushing after every record thus minimizing latency</li><li>If the config execution.buffer-timeout.enabled is false, trigger flushing only when the output buffer is full thus maximizing throughput</li></ul>"
ExecutionOptions,execution.sort-partition.memory,"Sets the managed memory size for sort partition operator in NonKeyedPartitionWindowedStream.The memory size is only a weight hint. Thus, it will affect the operator's memory weight within a task, but the actual memory used depends on the running environment."
ExecutionOptions,execution.sort-keyed-partition.memory,"Sets the managed memory size for sort partition operator on KeyedPartitionWindowedStream.The memory size is only a weight hint. Thus, it will affect the operator's memory weight within a task, but the actual memory used depends on the running environment."
ExecutionOptions,execution.sorted-inputs.enabled,A flag to enable or disable sorting inputs of keyed operators. NOTE: It takes effect only in the BATCH runtime mode.
ExecutionOptions,execution.sorted-inputs.memory,"Sets the managed memory size for sorting inputs of keyed operators in BATCH runtime mode. The memory size is only a weight hint. Thus, it will affect the operator's memory weight within a task, but the actual memory used depends on the running environment."
ExecutionOptions,execution.batch-state-backend.enabled,A flag to enable or disable batch runtime specific state backend and timer service for keyed operators. NOTE: It takes effect only in the BATCH runtime mode and requires sorted inputsexecution.sorted-inputs.enabled to be enabled.
ExecutionOptions,execution.async-state.in-flight-records-limit,"The max limit of in-flight records number in async state execution, 'in-flight' refers to the records that have entered the operator but have not yet been processed and emitted to the downstream. If the in-flight records number exceeds the limit, the newly records entering will be blocked until the in-flight records number drops below the limit."
ExecutionOptions,execution.async-state.buffer-size,"The size of buffer under async state execution. Async state execution provides a buffer mechanism to reduce state access. When the number of state requests in the active buffer exceeds the batch size, a batched state execution would be triggered. Larger batch sizes will bring higher end-to-end latency, this option works with 'execution.async-state.buffer-timeout' to control the frequency of triggering."
ExecutionOptions,execution.async-state.buffer-timeout,"The timeout of buffer triggering in milliseconds. If the buffer has not reached the 'execution.async-state.buffer-size' within 'buffer-timeout' milliseconds, a trigger will perform actively."
HeartbeatManagerOptions,heartbeat.interval,Time interval between heartbeat RPC requests from the sender to the receiver side.
HeartbeatManagerOptions,heartbeat.timeout,Timeout for requesting and receiving heartbeats for both sender and receiver sides.
HeartbeatManagerOptions,heartbeat.rpc-failure-threshold,"The number of consecutive failed heartbeat RPCs until a heartbeat target is marked as unreachable. Failed heartbeat RPCs can be used to detect dead targets faster because they no longer receive the RPCs. The detection time is <code class=""highlighter-rouge"">heartbeat.interval</code> * <code class=""highlighter-rouge"">heartbeat.rpc-failure-threshold</code>. In environments with a flaky network, setting this value too low can produce false positives. In this case, we recommend to increase this value, but not higher than <code class=""highlighter-rouge"">heartbeat.timeout</code> / <code class=""highlighter-rouge"">heartbeat.interval</code>. The mechanism can be disabled by setting this option to <code class=""highlighter-rouge"">-1</code>"
JobManagerOptions,jobmanager.rpc.address,"The config parameter defining the network address to connect to for communication with the job manager. This value is only interpreted in setups where a single JobManager with static name or address exists (simple standalone setups, or container setups with dynamic service name resolution). It is not used in many high-availability setups, when a leader-election service (like ZooKeeper) is used to elect and discover the JobManager leader from potentially multiple standby JobManagers."
JobManagerOptions,jobmanager.bind-host,"The local address of the network interface that the job manager binds to. If not configured, '0.0.0.0' will be used."
JobManagerOptions,jobmanager.rpc.port,"The config parameter defining the network port to connect to for communication with the job manager. Like jobmanager.rpc.address, this value is only interpreted in setups where a single JobManager with static name/address and port exists (simple standalone setups, or container setups with dynamic service name resolution). This config option is not used in many high-availability setups, when a leader-election service (like ZooKeeper) is used to elect and discover the JobManager leader from potentially multiple standby JobManagers."
JobManagerOptions,jobmanager.rpc.bind-port,"The local RPC port that the JobManager binds to. If not configured, the external port (configured by 'jobmanager.rpc.port') will be used."
JobManagerOptions,jobmanager.heap.size,JVM heap size for the JobManager.
JobManagerOptions,jobmanager.heap.mb,JVM heap size (in megabytes) for the JobManager.
JobManagerOptions,jobmanager.memory.process.size,"Total Process Memory size for the JobManager. This includes all the memory that a JobManager JVM process consumes, consisting of Total Flink Memory, JVM Metaspace, and JVM Overhead. In containerized setups, this should be set to the container memory. See also 'jobmanager.memory.flink.size' for Total Flink Memory size configuration."
JobManagerOptions,jobmanager.memory.flink.size,"Total Flink Memory size for the JobManager. This includes all the memory that a JobManager consumes, except for JVM Metaspace and JVM Overhead. It consists of JVM Heap Memory and Off-heap Memory. See also 'jobmanager.memory.process.size' for total process memory size configuration."
JobManagerOptions,jobmanager.memory.heap.size,JVM Heap Memory size for JobManager. The minimum recommended JVM Heap size is 128.000mb (134217728 bytes).
JobManagerOptions,jobmanager.memory.off-heap.size,Off-heap Memory size for JobManager. This option covers all off-heap memory usage including direct and native memory allocation. The JVM direct memory limit of the JobManager process (-XX:MaxDirectMemorySize) will be set to this value if the limit is enabled by 'jobmanager.memory.enable-jvm-direct-memory-limit'.
JobManagerOptions,jobmanager.memory.enable-jvm-direct-memory-limit,Whether to enable the JVM direct memory limit of the JobManager process (-XX:MaxDirectMemorySize). The limit will be set to the value of 'jobmanager.memory.off-heap.size' option.
JobManagerOptions,jobmanager.memory.jvm-metaspace.size,JVM Metaspace Size for the JobManager.
JobManagerOptions,jobmanager.memory.jvm-overhead.min,"Min JVM Overhead size for the JobManager. This is off-heap memory reserved for JVM overhead, such as thread stack space, compile cache, etc. This includes native memory but not direct memory, and will not be counted when Flink calculates JVM max direct memory size parameter. The size of JVM Overhead is derived to make up the configured fraction of the Total Process Memory. If the derived size is less or greater than the configured min or max size, the min or max size will be used. The exact size of JVM Overhead can be explicitly specified by setting the min and max size to the same value."
JobManagerOptions,jobmanager.memory.jvm-overhead.max,"Max JVM Overhead size for the JobManager. This is off-heap memory reserved for JVM overhead, such as thread stack space, compile cache, etc. This includes native memory but not direct memory, and will not be counted when Flink calculates JVM max direct memory size parameter. The size of JVM Overhead is derived to make up the configured fraction of the Total Process Memory. If the derived size is less or greater than the configured min or max size, the min or max size will be used. The exact size of JVM Overhead can be explicitly specified by setting the min and max size to the same value."
JobManagerOptions,jobmanager.memory.jvm-overhead.fraction,"Fraction of Total Process Memory to be reserved for JVM Overhead. This is off-heap memory reserved for JVM overhead, such as thread stack space, compile cache, etc. This includes native memory but not direct memory, and will not be counted when Flink calculates JVM max direct memory size parameter. The size of JVM Overhead is derived to make up the configured fraction of the Total Process Memory. If the derived size is less or greater than the configured min or max size, the min or max size will be used. The exact size of JVM Overhead can be explicitly specified by setting the min and max size to the same value."
JobManagerOptions,jobmanager.execution.attempts-history-size,The maximum number of historical execution attempts kept in history.
JobManagerOptions,jobmanager.failure-enrichers,"An optional list of failure enricher names. If empty, NO failure enrichers will be started. If configured, only enrichers whose name matches any of the names in the list will be started."
JobManagerOptions,jobmanager.execution.failover-strategy,"This option specifies how the job computation recovers from task failures. Accepted values are:<ul><li>'full': Restarts all tasks to recover the job.</li><li>'region': Restarts all tasks that could be affected by the task failure. More details can be found <a href=""{{.Site.BaseURL}}{{.Site.LanguagePrefix}}/docs/ops/state/task_failure_recovery/#restart-pipelined-region-failover-strategy"">here</a>.</li></ul>"
JobManagerOptions,jobmanager.archive.fs.dir,Directory for JobManager to store the archives of completed jobs.
JobManagerOptions,jobstore.cache-size,The job store cache size in bytes which is used to keep completed jobs in memory.
JobManagerOptions,jobstore.expiration-time,The time in seconds after which a completed job expires and is purged from the job store.
JobManagerOptions,jobstore.max-capacity,"The max number of completed jobs that can be kept in the job store. NOTICE: if memory store keeps too many jobs in session cluster, it may cause FullGC or OOM in jm."
JobManagerOptions,jobstore.type,"Determines which job store implementation is used in session cluster. Accepted values are:<ul><li>'File': the file job store keeps the archived execution graphs in files</li><li>'Memory': the memory job store keeps the archived execution graphs in memory. You may need to limit the <code class=""highlighter-rouge"">jobstore.max-capacity</code> to mitigate FullGC or OOM when there are too many graphs</li></ul>"
JobManagerOptions,jobmanager.retrieve-taskmanager-hostname,"Flag indicating whether JobManager would retrieve canonical host name of TaskManager during registration. If the option is set to ""false"", TaskManager registration with JobManager could be faster, since no reverse DNS lookup is performed. However, local input split assignment (such as for HDFS files) may be impacted."
JobManagerOptions,jobmanager.future-pool.size,"The size of the future thread pool to execute future callbacks for all spawned JobMasters. If no value is specified, then Flink defaults to the number of available CPU cores."
JobManagerOptions,jobmanager.io-pool.size,"The size of the IO thread pool to run blocking operations for all spawned JobMasters. This includes recovery and completion of checkpoints. Increase this value if you experience slow checkpoint operations when running many jobs. If no value is specified, then Flink defaults to the number of available CPU cores."
JobManagerOptions,slot.request.timeout,The timeout for requesting a slot from Slot Pool.
JobManagerOptions,slot.idle.timeout,The timeout for a idle slot in Slot Pool.
JobManagerOptions,jobmanager.scheduler,"Determines which scheduler implementation is used to schedule tasks. If this option is not explicitly set, batch jobs will use the 'AdaptiveBatch' scheduler as the default, while streaming jobs will default to the 'Default' scheduler."
JobManagerOptions,scheduler-mode,"Determines the mode of the scheduler. Note that <code class=""highlighter-rouge"">scheduler-mode</code>=<code class=""highlighter-rouge"">REACTIVE</code> is only supported by standalone application deployments, not by active resource managers (YARN, Kubernetes) or session clusters."
JobManagerOptions,jobmanager.adaptive-scheduler.min-parallelism-increase,Configure the minimum increase in parallelism for a job to scale up.
JobManagerOptions,jobmanager.adaptive-scheduler.scaling-interval.min,Determines the minimum time between scaling operations.
JobManagerOptions,jobmanager.adaptive-scheduler.scaling-interval.max,"Determines the maximum interval time after which a scaling operation is forced even if the <code class=""highlighter-rouge"">jobmanager.adaptive-scheduler.min-parallelism-increase</code> aren't met. The scaling operation will be ignored when the resource hasn't changed. This option is disabled by default."
JobManagerOptions,jobmanager.adaptive-scheduler.resource-wait-timeout,"The maximum time the JobManager will wait to acquire all required resources after a job submission or restart. Once elapsed it will try to run the job with a lower parallelism, or fail if the minimum amount of resources could not be acquired.<br />Increasing this value will make the cluster more resilient against temporary resources shortages (e.g., there is more time for a failed TaskManager to be restarted).<br />Setting a negative duration will disable the resource timeout: The JobManager will wait indefinitely for resources to appear.<br />If <code class=""highlighter-rouge"">scheduler-mode</code> is configured to <code class=""highlighter-rouge"">REACTIVE</code>, this configuration value will default to a negative value to disable the resource timeout."
JobManagerOptions,jobmanager.adaptive-scheduler.resource-stabilization-timeout,"The resource stabilization timeout defines the time the JobManager will wait if fewer than the desired but sufficient resources are available. The timeout starts once sufficient resources for running the job are available. Once this timeout has passed, the job will start executing with the available resources.<br />If <code class=""highlighter-rouge"">scheduler-mode</code> is configured to <code class=""highlighter-rouge"">REACTIVE</code>, this configuration value will default to 0, so that jobs are starting immediately with the available resources."
JobManagerOptions,jobmanager.partition.release-during-job-execution,Controls whether partitions should already be released during the job execution.
JobManagerOptions,jobmanager.adaptive-batch-scheduler.min-parallelism,"The lower bound of allowed parallelism to set adaptively if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>"
JobManagerOptions,jobmanager.adaptive-batch-scheduler.max-parallelism,"The upper bound of allowed parallelism to set adaptively if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>"
JobManagerOptions,jobmanager.adaptive-batch-scheduler.avg-data-volume-per-task,"The average size of data volume to expect each task instance to process if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>. Note that when data skew occurs or the decided parallelism reaches the <code class=""highlighter-rouge"">jobmanager.adaptive-batch-scheduler.max-parallelism</code> (due to too much data), the data actually processed by some tasks may far exceed this value."
JobManagerOptions,jobmanager.adaptive-batch-scheduler.default-source-parallelism,"The default parallelism of source vertices if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>"
JobManagerOptions,jobmanager.adaptive-batch-scheduler.speculative.enabled,Controls whether to enable speculative execution.
JobManagerOptions,jobmanager.adaptive-batch-scheduler.speculative.max-concurrent-executions,"Controls the maximum number of execution attempts of each operator that can execute concurrently, including the original one and speculative ones."
JobManagerOptions,jobmanager.adaptive-batch-scheduler.speculative.block-slow-node-duration,Controls how long an detected slow node should be blocked for.
JobManagerOptions,jobmanager.resource-id,"The JobManager's ResourceID. If not configured, the ResourceID will be generated randomly."
JobManagerOptions,jobmanager.partition.hybrid.partition-data-consume-constraint,"Controls the constraint that hybrid partition data can be consumed. Note that this option is allowed only when <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>. Accepted values are:<ul><li>'<code class=""highlighter-rouge"">ALL_PRODUCERS_FINISHED</code>': hybrid partition data can be consumed only when all producers are finished.</li><li>'<code class=""highlighter-rouge"">ONLY_FINISHED_PRODUCERS</code>': hybrid partition data can be consumed when its producer is finished.</li><li>'<code class=""highlighter-rouge"">UNFINISHED_PRODUCERS</code>': hybrid partition data can be consumed even if its producer is un-finished.</li></ul>"
TraceOptions,traces.reporters,"An optional list of trace reporter names. If configured, only reporters whose name matches any of the names in the list will be started. Otherwise, all reporters that could be found in the configuration will be started."
TraceOptions,traces.report-events-as-spans,"Whether to report events as spans. This is a temporary parameter that is in place until we have support for reporting events. In the meantime, this can be activated to report them as spans instead."
TraceOptions,factory.class,The reporter factory class to use for the reporter named &lt;name&gt;.
TraceOptions,<parameter>,Configures the parameter &lt;parameter&gt; for the reporter named &lt;name&gt;.
TraceOptions,scope.variables.additional,The map of additional variables that should be included for the reporter named &lt;name&gt;.
HighAvailabilityOptions,high-availability.type,"Defines high-availability mode used for cluster execution. To enable high-availability, set this mode to ""ZOOKEEPER"", ""KUBERNETES"", or specify the fully qualified name of the factory class."
HighAvailabilityOptions,high-availability.cluster-id,"The ID of the Flink cluster, used to separate multiple Flink clusters from each other. Needs to be set for standalone clusters but is automatically inferred in YARN."
HighAvailabilityOptions,high-availability.storageDir,File system path (URI) where Flink persists metadata in high-availability setups.
HighAvailabilityOptions,high-availability.jobmanager.port,"The port (range) used by the Flink Master for its RPC connections in highly-available setups. In highly-available setups, this value is used instead of 'jobmanager.rpc.port'.A value of '0' means that a random free port is chosen. TaskManagers discover this port through the high-availability services (leader election), so a random port or a port range works without requiring any additional means of service discovery."
HighAvailabilityOptions,high-availability.zookeeper.quorum,"The ZooKeeper quorum to use, when running Flink in a high-availability mode with ZooKeeper."
HighAvailabilityOptions,high-availability.zookeeper.path.root,The root path under which Flink stores its entries in ZooKeeper.
HighAvailabilityOptions,high-availability.zookeeper.path.jobgraphs,ZooKeeper root path (ZNode) for job graphs
HighAvailabilityOptions,high-availability.zookeeper.client.session-timeout,Defines the session timeout for the ZooKeeper session.
